DATE,TIME,MHz,CPU_0,CPU_1,CPU_2,CPU_3,LOAD%
01/18/19,10:46:30,1336.78,37,42,36,39,14.7
01/18/19,10:47:00,1266.95,36,38,36,37,9.5
